Sample_ID,Anion,Cation,TRT,Plot,Nutrient,rate
1,3,3,amb,2,NO3.N,6
2,3,3,drought w/ deluge,3,NO3.N,63
3,3,3,amb w/ deluge,4,NO3.N,19
4,3,3,drought w/ deluge,5,NO3.N,10
5,3,3,amb,6,NO3.N,15
6,3,3,amb,9,NO3.N,9
7,3,3,amb w/ deluge,10,NO3.N,57
8,3,3,amb w/ deluge,11,NO3.N,45
9,3,3,amb,12,NO3.N,12
10,3,3,amb w/ deluge,13,NO3.N,52
11,3,3,drought w/ deluge,14,NO3.N,62
12,3,3,drought w/ deluge,15,NO3.N,106
13,3,3,amb w/ deluge,16,NO3.N,36
14,3,3,amb,18,NO3.N,22
15,1,1,drought w/ deluge,19,NO3.N,108
16,3,3,amb w/ deluge,20,NO3.N,44
17,3,3,amb,21,NO3.N,38
18,3,3,drought w/ deluge,22,NO3.N,83
19,3,3,amb,23,NO3.N,15
20,3,3,amb w/ deluge,24,NO3.N,43
21,3,3,amb,26,NO3.N,22
22,3,3,amb,28,NO3.N,20
23,3,3,amb,29,NO3.N,21
24,3,3,amb w/ deluge,30,NO3.N,21
25,3,3,amb,31,NO3.N,22
26,3,3,amb,32,NO3.N,23
27,3,3,drought w/ deluge,33,NO3.N,147
28,3,3,amb,34,NO3.N,14
29,3,3,amb,35,NO3.N,16
30,3,3,amb w/ deluge,37,NO3.N,22
31,3,3,drought w/ deluge,38,NO3.N,66
32,3,3,amb,39,NO3.N,17
33,3,3,drought w/ deluge,41,NO3.N,39
34,3,3,amb,42,NO3.N,15
35,3,3,amb,43,NO3.N,43
36,3,3,amb w/ deluge,44,NO3.N,51
37,3,3,amb,45,NO3.N,51
38,3,3,amb,47,NO3.N,32
39,3,3,drought w/ deluge,49,NO3.N,46
40,3,3,amb,50,NO3.N,31
1,3,3,amb,2,NH4.N,3
2,3,3,drought w/ deluge,3,NH4.N,3
3,3,3,amb w/ deluge,4,NH4.N,3
4,3,3,drought w/ deluge,5,NH4.N,4
5,3,3,amb,6,NH4.N,5
6,3,3,amb,9,NH4.N,3
8,3,3,amb w/ deluge,11,NH4.N,2
9,3,3,amb,12,NH4.N,3
11,3,3,drought w/ deluge,14,NH4.N,2
12,3,3,drought w/ deluge,15,NH4.N,2
18,3,3,drought w/ deluge,22,NH4.N,2
21,3,3,amb,26,NH4.N,4
22,3,3,amb,28,NH4.N,2
23,3,3,amb,29,NH4.N,2
24,3,3,amb w/ deluge,30,NH4.N,3
26,3,3,amb,32,NH4.N,4
27,3,3,drought w/ deluge,33,NH4.N,4
28,3,3,amb,34,NH4.N,5
35,3,3,amb,43,NH4.N,5
37,3,3,amb,45,NH4.N,7
38,3,3,amb,47,NH4.N,3
39,3,3,drought w/ deluge,49,NH4.N,3
1,3,3,amb,2,Ca,729
2,3,3,drought w/ deluge,3,Ca,2598
3,3,3,amb w/ deluge,4,Ca,3750
4,3,3,drought w/ deluge,5,Ca,976
5,3,3,amb,6,Ca,1112
6,3,3,amb,9,Ca,2094
7,3,3,amb w/ deluge,10,Ca,3228
8,3,3,amb w/ deluge,11,Ca,3289
9,3,3,amb,12,Ca,2258
10,3,3,amb w/ deluge,13,Ca,3204
11,3,3,drought w/ deluge,14,Ca,3014
12,3,3,drought w/ deluge,15,Ca,2886
13,3,3,amb w/ deluge,16,Ca,2598
14,3,3,amb,18,Ca,1366
15,1,1,drought w/ deluge,19,Ca,2584
16,3,3,amb w/ deluge,20,Ca,2518
17,3,3,amb,21,Ca,1806
18,3,3,drought w/ deluge,22,Ca,2341
19,3,3,amb,23,Ca,1101
20,3,3,amb w/ deluge,24,Ca,2398
21,3,3,amb,26,Ca,1045
22,3,3,amb,28,Ca,1274
23,3,3,amb,29,Ca,1706
24,3,3,amb w/ deluge,30,Ca,2543
25,3,3,amb,31,Ca,1538
26,3,3,amb,32,Ca,1178
27,3,3,drought w/ deluge,33,Ca,2700
28,3,3,amb,34,Ca,1177
29,3,3,amb,35,Ca,1585
30,3,3,amb w/ deluge,37,Ca,2497
31,3,3,drought w/ deluge,38,Ca,2696
32,3,3,amb,39,Ca,1253
33,3,3,drought w/ deluge,41,Ca,2463
34,3,3,amb,42,Ca,1065
35,3,3,amb,43,Ca,1350
36,3,3,amb w/ deluge,44,Ca,3357
37,3,3,amb,45,Ca,1591
38,3,3,amb,47,Ca,1708
39,3,3,drought w/ deluge,49,Ca,2732
40,3,3,amb,50,Ca,1513
1,3,3,amb,2,Mg,158
2,3,3,drought w/ deluge,3,Mg,405
3,3,3,amb w/ deluge,4,Mg,446
4,3,3,drought w/ deluge,5,Mg,196
5,3,3,amb,6,Mg,199
6,3,3,amb,9,Mg,412
7,3,3,amb w/ deluge,10,Mg,445
8,3,3,amb w/ deluge,11,Mg,450
9,3,3,amb,12,Mg,442
10,3,3,amb w/ deluge,13,Mg,461
11,3,3,drought w/ deluge,14,Mg,443
12,3,3,drought w/ deluge,15,Mg,382
13,3,3,amb w/ deluge,16,Mg,360
14,3,3,amb,18,Mg,250
15,1,1,drought w/ deluge,19,Mg,334
16,3,3,amb w/ deluge,20,Mg,335
17,3,3,amb,21,Mg,340
18,3,3,drought w/ deluge,22,Mg,353
19,3,3,amb,23,Mg,256
20,3,3,amb w/ deluge,24,Mg,406
21,3,3,amb,26,Mg,254
22,3,3,amb,28,Mg,282
23,3,3,amb,29,Mg,297
24,3,3,amb w/ deluge,30,Mg,377
25,3,3,amb,31,Mg,287
26,3,3,amb,32,Mg,240
27,3,3,drought w/ deluge,33,Mg,347
28,3,3,amb,34,Mg,255
29,3,3,amb,35,Mg,361
30,3,3,amb w/ deluge,37,Mg,417
31,3,3,drought w/ deluge,38,Mg,434
32,3,3,amb,39,Mg,283
33,3,3,drought w/ deluge,41,Mg,375
34,3,3,amb,42,Mg,246
35,3,3,amb,43,Mg,279
36,3,3,amb w/ deluge,44,Mg,455
37,3,3,amb,45,Mg,306
38,3,3,amb,47,Mg,358
39,3,3,drought w/ deluge,49,Mg,410
40,3,3,amb,50,Mg,341
1,3,3,amb,2,K,95
2,3,3,drought w/ deluge,3,K,127
3,3,3,amb w/ deluge,4,K,70
4,3,3,drought w/ deluge,5,K,137
5,3,3,amb,6,K,114
6,3,3,amb,9,K,121
7,3,3,amb w/ deluge,10,K,66
8,3,3,amb w/ deluge,11,K,69
9,3,3,amb,12,K,101
10,3,3,amb w/ deluge,13,K,67
11,3,3,drought w/ deluge,14,K,70
12,3,3,drought w/ deluge,15,K,82
13,3,3,amb w/ deluge,16,K,56
14,3,3,amb,18,K,86
15,1,1,drought w/ deluge,19,K,70
16,3,3,amb w/ deluge,20,K,47
17,3,3,amb,21,K,99
18,3,3,drought w/ deluge,22,K,78
19,3,3,amb,23,K,81
20,3,3,amb w/ deluge,24,K,64
21,3,3,amb,26,K,99
22,3,3,amb,28,K,131
23,3,3,amb,29,K,60
24,3,3,amb w/ deluge,30,K,65
25,3,3,amb,31,K,55
26,3,3,amb,32,K,89
27,3,3,drought w/ deluge,33,K,57
28,3,3,amb,34,K,111
29,3,3,amb,35,K,102
30,3,3,amb w/ deluge,37,K,67
31,3,3,drought w/ deluge,38,K,75
32,3,3,amb,39,K,78
33,3,3,drought w/ deluge,41,K,62
34,3,3,amb,42,K,126
35,3,3,amb,43,K,125
36,3,3,amb w/ deluge,44,K,67
37,3,3,amb,45,K,203
38,3,3,amb,47,K,121
39,3,3,drought w/ deluge,49,K,49
40,3,3,amb,50,K,89
1,3,3,amb,2,P,2.8
2,3,3,drought w/ deluge,3,P,43.4
3,3,3,amb w/ deluge,4,P,17
4,3,3,drought w/ deluge,5,P,11.1
5,3,3,amb,6,P,8.6
6,3,3,amb,9,P,6.3
7,3,3,amb w/ deluge,10,P,21.3
8,3,3,amb w/ deluge,11,P,13.5
9,3,3,amb,12,P,8
10,3,3,amb w/ deluge,13,P,26.3
11,3,3,drought w/ deluge,14,P,19.2
12,3,3,drought w/ deluge,15,P,30.3
13,3,3,amb w/ deluge,16,P,16.4
14,3,3,amb,18,P,3.9
15,1,1,drought w/ deluge,19,P,25.5
16,3,3,amb w/ deluge,20,P,13.6
17,3,3,amb,21,P,3.6
18,3,3,drought w/ deluge,22,P,10.4
19,3,3,amb,23,P,2.6
20,3,3,amb w/ deluge,24,P,8.8
21,3,3,amb,26,P,3.6
22,3,3,amb,28,P,5.5
23,3,3,amb,29,P,6.9
24,3,3,amb w/ deluge,30,P,18.1
25,3,3,amb,31,P,5
26,3,3,amb,32,P,8.3
27,3,3,drought w/ deluge,33,P,14.2
28,3,3,amb,34,P,4.2
29,3,3,amb,35,P,3.4
30,3,3,amb w/ deluge,37,P,21.4
31,3,3,drought w/ deluge,38,P,6
32,3,3,amb,39,P,4.1
33,3,3,drought w/ deluge,41,P,25.6
34,3,3,amb,42,P,9.4
35,3,3,amb,43,P,16.4
36,3,3,amb w/ deluge,44,P,18.5
37,3,3,amb,45,P,7.7
38,3,3,amb,47,P,7.5
39,3,3,drought w/ deluge,49,P,8.3
40,3,3,amb,50,P,5.9
1,3,3,amb,2,Fe,0.6
2,3,3,drought w/ deluge,3,Fe,12.9
3,3,3,amb w/ deluge,4,Fe,8.9
4,3,3,drought w/ deluge,5,Fe,0.8
5,3,3,amb,6,Fe,0.7
6,3,3,amb,9,Fe,1.1
7,3,3,amb w/ deluge,10,Fe,14.8
8,3,3,amb w/ deluge,11,Fe,6.8
9,3,3,amb,12,Fe,0.8
10,3,3,amb w/ deluge,13,Fe,10.2
11,3,3,drought w/ deluge,14,Fe,8.7
12,3,3,drought w/ deluge,15,Fe,11.4
13,3,3,amb w/ deluge,16,Fe,8.6
14,3,3,amb,18,Fe,0.6
15,1,1,drought w/ deluge,19,Fe,6
16,3,3,amb w/ deluge,20,Fe,9.3
17,3,3,amb,21,Fe,0.6
18,3,3,drought w/ deluge,22,Fe,9.4
19,3,3,amb,23,Fe,0.7
20,3,3,amb w/ deluge,24,Fe,8.3
21,3,3,amb,26,Fe,0.7
22,3,3,amb,28,Fe,0.7
23,3,3,amb,29,Fe,0.6
24,3,3,amb w/ deluge,30,Fe,8.6
25,3,3,amb,31,Fe,0.6
26,3,3,amb,32,Fe,0.9
27,3,3,drought w/ deluge,33,Fe,12.3
28,3,3,amb,34,Fe,0.8
29,3,3,amb,35,Fe,0.6
30,3,3,amb w/ deluge,37,Fe,8.3
31,3,3,drought w/ deluge,38,Fe,6
32,3,3,amb,39,Fe,0.8
33,3,3,drought w/ deluge,41,Fe,22.1
34,3,3,amb,42,Fe,0.7
35,3,3,amb,43,Fe,2
36,3,3,amb w/ deluge,44,Fe,17.8
37,3,3,amb,45,Fe,1.1
38,3,3,amb,47,Fe,0.9
39,3,3,drought w/ deluge,49,Fe,10.3
40,3,3,amb,50,Fe,0.9
1,3,3,amb,2,Mn,0.6
2,3,3,drought w/ deluge,3,Mn,7
3,3,3,amb w/ deluge,4,Mn,4.8
4,3,3,drought w/ deluge,5,Mn,1.1
5,3,3,amb,6,Mn,1.8
6,3,3,amb,9,Mn,0.9
7,3,3,amb w/ deluge,10,Mn,3.2
8,3,3,amb w/ deluge,11,Mn,2.3
9,3,3,amb,12,Mn,0.5
10,3,3,amb w/ deluge,13,Mn,5
11,3,3,drought w/ deluge,14,Mn,4.9
12,3,3,drought w/ deluge,15,Mn,16.4
13,3,3,amb w/ deluge,16,Mn,3.4
14,3,3,amb,18,Mn,0.4
15,1,1,drought w/ deluge,19,Mn,12.4
16,3,3,amb w/ deluge,20,Mn,2.6
17,3,3,amb,21,Mn,0.4
18,3,3,drought w/ deluge,22,Mn,4.4
19,3,3,amb,23,Mn,0.6
20,3,3,amb w/ deluge,24,Mn,3.4
21,3,3,amb,26,Mn,0.5
22,3,3,amb,28,Mn,0.7
23,3,3,amb,29,Mn,0.5
24,3,3,amb w/ deluge,30,Mn,3.4
25,3,3,amb,31,Mn,0.4
26,3,3,amb,32,Mn,1.2
27,3,3,drought w/ deluge,33,Mn,4.6
28,3,3,amb,34,Mn,0.7
29,3,3,amb,35,Mn,0.5
30,3,3,amb w/ deluge,37,Mn,3.2
31,3,3,drought w/ deluge,38,Mn,2.5
32,3,3,amb,39,Mn,0.7
33,3,3,drought w/ deluge,41,Mn,9.5
34,3,3,amb,42,Mn,1.1
35,3,3,amb,43,Mn,9.6
36,3,3,amb w/ deluge,44,Mn,6.1
37,3,3,amb,45,Mn,10.6
38,3,3,amb,47,Mn,0.7
39,3,3,drought w/ deluge,49,Mn,2.9
40,3,3,amb,50,Mn,1.6
2,3,3,drought w/ deluge,3,Cu,0.39
3,3,3,amb w/ deluge,4,Cu,0.49
7,3,3,amb w/ deluge,10,Cu,0.42
8,3,3,amb w/ deluge,11,Cu,0.29
10,3,3,amb w/ deluge,13,Cu,0.47
11,3,3,drought w/ deluge,14,Cu,0.6
12,3,3,drought w/ deluge,15,Cu,0.63
13,3,3,amb w/ deluge,16,Cu,0.47
15,1,1,drought w/ deluge,19,Cu,0.5
16,3,3,amb w/ deluge,20,Cu,0.3
18,3,3,drought w/ deluge,22,Cu,0.58
20,3,3,amb w/ deluge,24,Cu,0.38
24,3,3,amb w/ deluge,30,Cu,0.31
27,3,3,drought w/ deluge,33,Cu,0.66
30,3,3,amb w/ deluge,37,Cu,0.58
31,3,3,drought w/ deluge,38,Cu,0.71
32,3,3,amb,39,Cu,0.22
33,3,3,drought w/ deluge,41,Cu,0.94
36,3,3,amb w/ deluge,44,Cu,1
39,3,3,drought w/ deluge,49,Cu,0.59
2,3,3,drought w/ deluge,3,Zn,1.29
3,3,3,amb w/ deluge,4,Zn,1.07
4,3,3,drought w/ deluge,5,Zn,0.42
6,3,3,amb,9,Zn,0.29
7,3,3,amb w/ deluge,10,Zn,0.93
8,3,3,amb w/ deluge,11,Zn,1.22
10,3,3,amb w/ deluge,13,Zn,1.26
11,3,3,drought w/ deluge,14,Zn,1.73
12,3,3,drought w/ deluge,15,Zn,2.05
13,3,3,amb w/ deluge,16,Zn,0.57
15,1,1,drought w/ deluge,19,Zn,1.41
16,3,3,amb w/ deluge,20,Zn,0.67
18,3,3,drought w/ deluge,22,Zn,1.42
20,3,3,amb w/ deluge,24,Zn,0.61
21,3,3,amb,26,Zn,0.39
22,3,3,amb,28,Zn,0.22
24,3,3,amb w/ deluge,30,Zn,0.77
26,3,3,amb,32,Zn,0.24
27,3,3,drought w/ deluge,33,Zn,0.94
28,3,3,amb,34,Zn,0.29
29,3,3,amb,35,Zn,0.3
30,3,3,amb w/ deluge,37,Zn,0.7
31,3,3,drought w/ deluge,38,Zn,0.93
32,3,3,amb,39,Zn,0.37
33,3,3,drought w/ deluge,41,Zn,1.68
34,3,3,amb,42,Zn,0.26
35,3,3,amb,43,Zn,0.42
36,3,3,amb w/ deluge,44,Zn,1.01
37,3,3,amb,45,Zn,0.48
38,3,3,amb,47,Zn,0.37
39,3,3,drought w/ deluge,49,Zn,0.89
40,3,3,amb,50,Zn,0.3
3,3,3,amb w/ deluge,4,B,0.52
6,3,3,amb,9,B,0.53
8,3,3,amb w/ deluge,11,B,0.28
11,3,3,drought w/ deluge,14,B,0.48
12,3,3,drought w/ deluge,15,B,0.25
31,3,3,drought w/ deluge,38,B,0.28
1,3,3,amb,2,S,7
2,3,3,drought w/ deluge,3,S,140
3,3,3,amb w/ deluge,4,S,167
4,3,3,drought w/ deluge,5,S,10
5,3,3,amb,6,S,6
6,3,3,amb,9,S,6
7,3,3,amb w/ deluge,10,S,173
8,3,3,amb w/ deluge,11,S,133
9,3,3,amb,12,S,7
10,3,3,amb w/ deluge,13,S,120
11,3,3,drought w/ deluge,14,S,128
12,3,3,drought w/ deluge,15,S,134
13,3,3,amb w/ deluge,16,S,113
14,3,3,amb,18,S,6
15,1,1,drought w/ deluge,19,S,143
16,3,3,amb w/ deluge,20,S,103
17,3,3,amb,21,S,7
18,3,3,drought w/ deluge,22,S,142
19,3,3,amb,23,S,4
20,3,3,amb w/ deluge,24,S,122
21,3,3,amb,26,S,4
22,3,3,amb,28,S,5
23,3,3,amb,29,S,6
24,3,3,amb w/ deluge,30,S,91
25,3,3,amb,31,S,4
26,3,3,amb,32,S,7
27,3,3,drought w/ deluge,33,S,139
28,3,3,amb,34,S,4
29,3,3,amb,35,S,5
30,3,3,amb w/ deluge,37,S,102
31,3,3,drought w/ deluge,38,S,102
32,3,3,amb,39,S,5
33,3,3,drought w/ deluge,41,S,98
34,3,3,amb,42,S,7
35,3,3,amb,43,S,9
36,3,3,amb w/ deluge,44,S,182
37,3,3,amb,45,S,7
38,3,3,amb,47,S,5
39,3,3,drought w/ deluge,49,S,176
40,3,3,amb,50,S,5
2,3,3,drought w/ deluge,3,Pb,1.81
3,3,3,amb w/ deluge,4,Pb,1.88
7,3,3,amb w/ deluge,10,Pb,1.81
8,3,3,amb w/ deluge,11,Pb,1.34
10,3,3,amb w/ deluge,13,Pb,1.65
11,3,3,drought w/ deluge,14,Pb,1.81
12,3,3,drought w/ deluge,15,Pb,2.07
13,3,3,amb w/ deluge,16,Pb,1.69
15,1,1,drought w/ deluge,19,Pb,2.12
16,3,3,amb w/ deluge,20,Pb,1.56
18,3,3,drought w/ deluge,22,Pb,1.57
20,3,3,amb w/ deluge,24,Pb,1.2
24,3,3,amb w/ deluge,30,Pb,1.3
27,3,3,drought w/ deluge,33,Pb,1.97
30,3,3,amb w/ deluge,37,Pb,1.05
31,3,3,drought w/ deluge,38,Pb,1.27
33,3,3,drought w/ deluge,41,Pb,2.11
35,3,3,amb,43,Pb,0.36
36,3,3,amb w/ deluge,44,Pb,2.26
39,3,3,drought w/ deluge,49,Pb,1.76
1,3,3,amb,2,Al,7.3
2,3,3,drought w/ deluge,3,Al,7.6
3,3,3,amb w/ deluge,4,Al,13.8
4,3,3,drought w/ deluge,5,Al,7.9
5,3,3,amb,6,Al,9.3
6,3,3,amb,9,Al,18
7,3,3,amb w/ deluge,10,Al,8.3
8,3,3,amb w/ deluge,11,Al,14.8
9,3,3,amb,12,Al,14.6
10,3,3,amb w/ deluge,13,Al,9.5
11,3,3,drought w/ deluge,14,Al,12.8
12,3,3,drought w/ deluge,15,Al,13.7
13,3,3,amb w/ deluge,16,Al,9.2
14,3,3,amb,18,Al,11.1
15,1,1,drought w/ deluge,19,Al,11
16,3,3,amb w/ deluge,20,Al,7.1
17,3,3,amb,21,Al,16.5
18,3,3,drought w/ deluge,22,Al,5.8
19,3,3,amb,23,Al,9.8
20,3,3,amb w/ deluge,24,Al,9.5
21,3,3,amb,26,Al,10
22,3,3,amb,28,Al,9.9
23,3,3,amb,29,Al,8.1
24,3,3,amb w/ deluge,30,Al,11.4
25,3,3,amb,31,Al,7.3
26,3,3,amb,32,Al,9.1
27,3,3,drought w/ deluge,33,Al,15.5
28,3,3,amb,34,Al,14.1
29,3,3,amb,35,Al,9.5
30,3,3,amb w/ deluge,37,Al,11.7
31,3,3,drought w/ deluge,38,Al,15.2
32,3,3,amb,39,Al,11.4
33,3,3,drought w/ deluge,41,Al,13
34,3,3,amb,42,Al,9.7
35,3,3,amb,43,Al,10.3
36,3,3,amb w/ deluge,44,Al,13.3
37,3,3,amb,45,Al,9.8
38,3,3,amb,47,Al,16
39,3,3,drought w/ deluge,49,Al,6.9
40,3,3,amb,50,Al,11.1